Actor Name,Work
טום באום,"האיש שרצה לדעת הכל (סדרת טלוויזיה), לילה בחיפה"
טום יפת,שכויה
טוני ברמן,כאן גרים בכיף
טטיאנה קנליס אולייר,האב
טינקרבל,"אזור חופשי, בקרוב יקרה לך משהו טוב, ג'ירפות, ההסדר, עיניים פקוחות"
טל בלכרוביץ',דן ומוזלי
טל טלמון,"דני הוליווד, הרמון"
טל מוסרי,"The Sixteenth Lamb, אח שלי הגדול, היהודים באים, זיגי, כובע קסמים, נעלמים, עולמו המופלא של אוגוסטוס אגדתי"
טל מן,עולמו המופלא של אוגוסטוס אגדתי
טל פרידמן,"אולטימאטום, ארץ נהדרת, האח של דריקס, המוסד, זוהי סדום, שושלת שוורץ"
טל קלאי,"אליס, הצגה יומית, נמס בגשם"
טלי אורן,נעלמים
טלי שרון,"בת השוטר, הדברים שמאחורי השמש, טלנובלה בע""מ, ילדות סכסכניות, כביש הסרגל (סרט), למראית עין, שלוש אמהות"
טליה ברטפלד,חאנשי
טליה שפירא,"בלפר (סרט, 1978), הבלש האמיץ שוורץ, משה"
יאיר להמן,"עלילות ארץ גושן, תמרות עשן"
יאיר לוטן,"דור מזוין, לילה אחד עם המלך"
יאיר לפיד,"יאיר לפיד (תוכנית טלוויזיה), עץ לימון, שירת הסירנה"
יאיר רובין,"בקרוב יקרה לך משהו טוב, עתליה, צלילה חוזרה, שמיכה חשמלית ושמה משה"
יאנה גור,"קירות, תמרות עשן"
יבגניה דודינה,"In Times of Fading Light, Made in Israel, אדם בן כלב, איולף הקטן, אין בתולות בקריות, אנה, ד""ר פומרנץ, המלך ליר, זמן אוויר, לא רואים עליך, מכתבים לאמריקה, סיפור חצי רוסי, קלרה הקדושה, קרקס פלשתינה"
יגאל זקס,לגעת באושר
יגאל נאור,"300: עליית האימפריה, Dead Europe, Green Zone, Riviera, Stratton, The Promise, אנטיגונה, הבית של סדאם, הבלתי רשמיים, ההסדר, הכוכבים של שלומי, התאבדות, חקירה מעבר לקווים, יוליוס קיסר, כביש הסרגל (סרט), מינכן, מפריח היונים, משימה חשאית בדמשק, עד לאזור לחימה, קלרה הקדושה"
יגאל שדה,"איולף הקטן, אנטיגונה, הדרך לאן, המלך ליר, מאיה, שליחותו של הממונה על משאבי אנוש"
יגאל שילון,אחד באפריל
ידידיה ויטל,"בילי, השמיניה, חצויה"
ידין גולדמן,אחרי הצלצול (סדרת טלוויזיה ישראלית)
ידין גלמן,תמונת הניצחון
יהודה אפרוני,"אגדת שלושה וארבעה, אויב העם, אותלו, אירמה לה דוס, אמא קוראז' וילדיה, הכתובה, הרוצחים הקטנים, השקרן, חלום ליל קיץ, מבצע שטריימל, פיתוי, קומדיה של טעויות, שניים עשר המושבעים"
יהודה בארקן,"Robinson and His Tempestuous Slaves, חגיגה בסנוקר, כץ וקרסו, לופו, מלכת הכביש, נשיקה במצ""ח, צ'רלי וחצי, צומת וולקן, שתי דפיקות לב"
יהודה לוי,"For the Love of Money, אהבה מעבר לפינה, איסט סייד, איש חשוב מאוד, אמא ואבאז, האלופה, הבורר, המדרשה, יוסי וג'אגר, לחיי האהבה, מינכן, מעילה, פלאות, שושלת שוורץ"
יהודה נהרי הלוי,"רימון הזהב, שבלולים בגשם, תיכון השיר שלנו"
יהודה פוקס,"המשכנע בע""מ, מלך של קבצנים, שמיכה חשמלית ושמה משה, תחיה ותהיה"
יהודה רובינשטיין,"אמא קוראז' וילדיה, חתונת פיגארו, כל אדם והאמת שלו"
יהונתן וילוז'ני,כיסופים
יהונתן מגון,"אלנבי רומאנס, חיותה וברל"
יהונתן מרגי,PPS
יהונתן סגל,"אסקימו לימון, בלוז לקיץ, המתופפת הקטנה, יוצאים קבוע, נגוע, ספיחס, קשר עיר, רומן זעיר, רשימת שינדלר, שפשוף נעים"
יהורם גאון,"כביש ללא מוצא, כל ממזר מלך, מבצע חמניה, מבצע יונתן, סברי מרנן, קזבלן, קרובים קרובים"
יהושע ברטונוב,"חתונת פיגארו, נגד רצון האבות, שניים עשר המושבעים"
יהלי מרגלית טופול,"המדריך לרצח לילדות טובות, המקעקע מאושוויץ"
יהלי סובול,מדוזות
יהלי תסאת,"אודם, אופוריה, הלהקה האחרונה בלבנון, מדינת הגמדים, ציון ואחיו, שעת נעילה"
יוּסֻף סוויד,"American Odyssey, Inch'Allah, Munich Games, Tender Hearts, Touched, אגורא, בגדאד סנטרל, הבועה, התסריטאי, חסר מנוחה, יובל המבולבל (סדרה), ללכת על המים, עומאר, תל אביב על האש"
יואב דונט,Inch'Allah
יואב הייט,"All Eyes Off Me, איזה מקום נפלא, חצויה, רימון הזהב, תהילים"
יואב היימן,מבצע חמניה
יואב לוי,"בני מצווה, בעלת החלומות, הבלתי רשמיים, כוננות עם שחר, מיראל, שמים אדומים"
יואב צפיר,בלוז לחופש הגדול
יואב קוטנר,עם סגולה
יואב רבינוביץ',טלוויזיה מהעתיד
יואב רוטמן,"אנטילופות, מבול, מיקמק - הסדרה, נעלמים, עשו"
יואל דרורי,עלילות ארץ גושן
יואל רוזנקיאר,"Q124613908, הצלילה, קיבוצניקים, תוכנית א'"
יובל אדלר,בית לחם
יובל בנאי,"מאמי, מכת שמש, נאדיה"
יובל ינאי,נעלמים
יובל כרמי,אפטר
יובל מנדלסון,"חתולים על סירת פדלים, מישהו לרוץ איתו"
יובל סגל,"אין לה אלוהים, אפס ביחסי אנוש, זמן אוויר, לרקוד, מתנה משמיים, פאודה, קצרים"
יובל סגל (1980),"אור, דן ומוזלי"
יובל סמו,"אבא מטפלת, אהבה קולומביאנית, ארץ נהדרת, בקרוב יקרה לך משהו טוב, החברים של נאור, הפרלמנט, השוטר הטוב, זוהי סדום, זנזורי, יוסי וג'אגר, ללכת על המים, שקופים (סדרת טלוויזיה)"
יובל רז,אנטרקטיקה
יובל שם-טוב,"השכונה של הופ!, יובל המבולבל (סדרה)"
יובל שרף,"All Russians Love Birch Trees, איים אבודים, אנה ערביה, הדילרים, לבד בבית, מלכת היופי של ירושלים, פולמון, פלאות"
יוגב יפת,טלוויזיה מהעתיד
יונה אליאן,"החורף האחרון, חלום ליל קיץ, יהלומים, ילדות רעות, כיכר החלומות, נורית, סברי מרנן, שלושה ואחת"
יונה עטרי,רחוב סומסום
יונה רודן,Der dibeḳ
יונה רוזנקיאר,"Q124613908, הצלילה"
יוני זיכהולץ,החברים של נאור
יוני חן,חמש חמש
יוני להב,גור ואוח
יונית טובי,"אפס ביחסי אנוש, גאליס"
יונית שהם,אל תדחוף את האף
יונתן בר-אור,יונייטד היי
יונתן ברק,"נמס בגשם, תמונת הניצחון"
יונתן עוזיאל,"הכתובה, מפטיר, קרב אוויר (סרט)"
יונתן צ'רצ'י,"אביבה אהובתי, דלתא פורס 1 (ש.ל.ר), מאיה, שמיכה חשמלית ושמה משה"
יונתן רוזן,"הכוכבים של שלומי, מפטיר"
יוסי אלפי,תחיה ותהיה
יוסי בנאי,"אגדת שלושה וארבעה, שניים עשר המושבעים, ששת הימים"
יוסי גרבר,"איזה מקום נפלא, אנטיגונה, בלומפילד, החיים בינתיים, חימו מלך ירושלים"
יוסי וואסה,נבסו
יוסי וירז'נסקי,יום הדין
יוסי טולדו,נעלמים
יוסי מרשק,"אל תתעסקו עם הזוהן, אני לא מאמין, אני רובוט?!, הבועה, היהודים באים, העולם מצחיק, זרים מושלמים, לבד בבית, להעיר את הדב, מבצע חמניה, מנפאואר, עתלית, פלפלים צהובים"
יוסי סגל,"קומדיה של טעויות, שמיכה חשמלית ושמה משה"
יוסי עטיה,בית בגליל
יוסי עיני,בית לחם
יוסי פולק,"דודה ליזה, האב, הבית ברחוב שלוש, חלום ליל קיץ, עתליה"
יוסי צברי,קיבוצניקים
יוסף אבו ורדה,"Amreeka, No Name Restaurant, Wedding in Galilee, איים אבודים, אנה ערביה, גמר גביע, הארץ המובטחת, הירושה, התנתקות, חצויה, יום יום, סוף שבוע בתל אביב, קדוש, קדמה, שנת אפס, תמרות עשן"
יוסף אל-דרור,Made in Israel
יוסף ידין,"Stop Train 349, אבן על כל מיל, ארבעה בג'יפ, בלומפילד, גבעה 24 אינה עונה, מבצע קהיר, שקרים שסיפר לי אבי"
יוסף כרמון,"אדמה משוגעת, אנטיגונה, ד""ר פומרנץ, דודה קלרה, הפטנט, חיותה וברל, מיתה טובה, מר באום, עלילה, קמטי צחוק"
יוסף שילוח,"American Cyborg Steel Warrior, Carlos, Chain of Command, La salamandra del deserto, The Story of Jacob and Joseph, אבו אל בנאת, אני אוהב אותך רוזה, גן עדן (סרט, 1982), גרין, הבית ברחוב שלוש, הבלש האמיץ שוורץ, חגיגה לעיניים, ימים של אהבה, ישו, כיכר החלומות, כץ וקרסו, לילסדה, משה, סהרה, צמות, רמבו 3"
יורי ליובימוב,"A Noisy Household, Belinsky, Cain XVIII, Composer Glinka, Days and Nights, Michurin, Příběhy slavných, Q18279716, Q4127313, Three Encounters"
יורם חטב,"Djihad, כבודו, כיפור, עור, צומת וולקן, קדוש, שלוש אמהות"
יורם טולדנו,"אדם בן כלב, אנשים כתומים, בעלת החלומות, הרמון, חטופים, חמש שעות מפריז, יונייטד היי, מבול, שלוש אמהות, תמרות עשן"
יורם יוספסברג,מלח הארץ
יורם קניוק,אדם בן כלב
יותם קושניר,אליפים
יחזקאל לזרוב,"אבירם כץ, אהבה אסורה, ברקיע החמישי, דרייבר, האישה באפור, המנטליסט, העולם מצחיק, פמת""א, שלוש אמהות, תאג""ד"
יחיאל אלקבץ,פיק אפ
יניב ביטון,"אבירם כץ, גן קופים, היהודים באים, הפורצת, הפילגש, חומוס FULL טריילר, קיבוצניקים"
יניב סויסה,"אתי אלון - האישה שגנבה 250 מיליון, פמת""א, קופה ראשית"
יניב פולישוק גרי המבורגרי,הנפילים
יסמין דאימונד,לחיי האהבה
יסמין עיון,"מפריח היונים, שישו ושמחו (סדרת טלוויזיה)"
יעל אביב,שבע פעמים ביום
יעל אבקסיס,"Bella ciao, Papa, Surviving with Wolves, Three-Step Dance, בעבור סשה, דרייבר, הד, הסודות של מישל, הרחק מהיעדרו, חטופים, חתה יסבח סבח, לצוד פילים, סיפורי תל אביב, עלילה, ערבים רוקדים - זהות שאולה, עתלית, קדוש, קדמה, רבין, היום האחרון, שבעה, תחיה ותהיה"
יעל איתן,אלי
יעל אלקנה,"הטבח, קיבוצניקים"
יעל בר זוהר,"בננות, טלנובלה בע""מ, עולמו המופלא של אוגוסטוס אגדתי, שחר"
יעל גרובגלס,"Fort Rozz, Triggers, ג'יין הבתולה, ג'רוזלם, האי, חצויה, כלבת, ממלכה"
יעל דואני,לחיי האהבה
יעל הדר,"אילי ובן, לחיי האהבה, מרס תורכי, צומת וולקן, שאכטה, שחקנים"
יעל טוקר,רווקה פלוס
יעל טל,למלא את החלל
יעל לבנטל,"בחצר של פופיק, החיים זה לא הכל, עם סגולה, פעם הייתי"
יעל פוליאקוב,"אחד העם 1, אחד העם 101, אין לה אלוהים"
יעל שרוני,"בשבילה גיבורים עפים, היהודים באים, סרוגים"
יעקב איילי,מאיה
יעקב איינשטיין,סבינה והגברים
יעקב אלפרין,"Folks-yom-Tev fun freyd un gezang!, Gidʻon, Lakhṭ gezunṭerheyṭ!, Yoysef Bulof in Gidon, דבר לענין, רעד צו דער זאך, האט א ייד א וויבעלע, הדוד אמריקה, חג שמח, לא מלקקים דבש!, לאכט געזונטערהייט!, לחיות ולצחוק"
יעקב בודו,"Auf Wiedersehen Amerika, חמש חמש, כשנותנים - קח!, פעם הייתי, קופה ראשית, רק לא בשבת"
יעקב בן-סירא,"מבצע שטריימל, רק בלירה, שבע פעמים ביום"
יעקב בנאי,שמיכה חשמלית ושמה משה
יעקב זדה-דניאל,"אלף, דרייבר, להעיר את הדב, מטומטמת, על הספקטרום, קרתגו, שמים אדומים"
יעקב כהן,"הבלתי רשמיים, שחור"
יעקב ריינגלס,"אריינגעצימבלט..., הרבצנו ודי., מירלה אפרת"
יערה פלציג,השוטר
יפים ברזין,"An Easy Life, Migrants, Q109428516, Q116811481, Q25435781, Q4177578, Q4526839, Q4527728, Variety Stars"
יפית אסולין,"אבא מטפלת, הדרך לאן, זגורי אימפריה, שלטון הצללים"
יפתח מזרחי,אנטרקטיקה
יפתח קליין,"אזימוט, המועדון לספרות יפה של הגברת ינקלובה, השוטר, למלא את החלל, מלח ים, נודל, קורדרוי (סדרת טלוויזיה), רק כלבים רצים חופשי"
יפתח קצור,"אהבה צעירה, אסקימו לימון, בלוז לקיץ, הרימו עוגן, יוצאים קבוע, ספיחס, עתליה, רומן זעיר, שפשוף נעים"
יצחק חביס,"A ṭog in ir lebn, Der ḳibitser (April 27, 1967), Gidʻon, בעל להשכיר!, יונה עושה חיים"
יצחק חזקיה,"אבנים, בנות, מדוזות, מעשייה אורבנית, שמיכה חשמלית ושמה משה"
יצחק מיכאל שילה,"אויב העם, גבעה 24 אינה עונה, המלט, מלחמה ושלום, מצדה"
ירדן בר-כוכבא,"דן ומוזלי, פעם הייתי"
ירון בן הרוש,נעלמים
ירון ברובינסקי,חיותה וברל
ירון ברלד,ארץ נהדרת
ירון לונדון,"זוג נשוי, כידון"
יריב מוזר,שבלולים בגשם
ישי גולן,"Street Food Around The World, The Rashevski Tango, The Reports on Sarah and Saleem, בית בגליל, הגולם (סרט, 2019), הדרך לאן, וביום השלישי, ויקי ואני, חטופים, חיי אהבה, כפולים, מָנָאיֶיכּ, מלח הימה (ש.ל.ר), קדמה"
ישראל אהרוני,"המסע המופלא של אהרוני וגידי, סוף שבוע בתל אביב"
ישראל אוגלבו,מלכת היופי של ירושלים
ישראל אטיאס,"זגורי אימפריה, זיגי, שבאבניקים"
ישראל בידרמן,הרוצחים הקטנים
ישראל בקר,"דודה ליזה, הפיזיקאים, חנה סנש, חתונת פיגארו, מי מפחד מווירג'יניה וולף, מקבת, שניים עשר המושבעים"
ישראל ברייט,המנגליסטים
ישראל גוריון,"גרין, המנצח"
ישראל דמידוב,"Den vyborov 2, Election Day, Q4195588, Q4429825, בוקר טוב אדון פידלמן, החברים של יאנה, מבצע חמניה, קלרה הקדושה"
ישראל טרייסטמן,בנות
ישראל יצחקי,"Geshosn un getrofn, אלהים, אדם ושטן"
ישראל פוליאקוב,"גבעת חלפון אינה עונה, הקרב על הוועד, שלאגר"
ישראל קטורזה,"הלהקה האחרונה בלבנון, העולם מצחיק, התנתקות, כידון, לבד בבית, סוף העולם שמאלה"
ישראל רובינצ'יק,"אגדת שלושה וארבעה, אירמה לה דוס, ליל הקסמים, מסע לנינוה"
ישראל שומאכר,"A guṭn Purim malekh, Di ṿelṭ shoḳolaṭ zikh!, Yom-ṭev inderṿokhn, איך  אתה הולך?, איך אתה הולך (23 בינואר 1959), איך אתה הולך, זע ווי דו גייסט, איך אתה הולך?, אל תדחוף את האף, אן א היים, אריינגעצימבלט..., הרבצנו ודי., מכירים אותך, דוד!..., צחוק ולא יעבור, טאטע ולא יעבור"
כוכבה הררי,"Lakhṭ gezunṭerheyṭ!, אריינגעצימבלט..., הרבצנו ודי., יש ליהודי ארצונת!..., לאכט געזונטערהייט!"
כרמית מסילתי-קפלן,וביום השלישי
כרמל בין,המפקדת
כרמל לוטן,"יומני החופש הגדול, נעלמים"
כרמלה קורן,"Between Shanghai and St. Pauli, Dance with Me Into the Morning, His Best Friend"
לאה קמחזי,הדרך לאן
לאה שלנגר,"Dos groyse  geṿins, Gidʻon, Yoysef Bulof in Gidon, איך  אתה הולך?, איך אתה הולך (23 בינואר 1959), איך אתה הולך?, האחים אשכנזי, מכירים אותך, דוד!..."
לאוניד קנייבסקי,"Along Unknown Paths, Eastern Dentist, Investigation Held by ZnaToKi. Case #1. Black Brocker, Q113290719, Q28664588, Q4327835, Q4339387, Q4423255, Q4423264, Q4423268, Q4423270, Q4423273, Q4423275, Q4423276, Q4423279, Q4423282, Q4448732, Q4492186, Q65199255, The City of Masters, The Pretender, What Men Talk About. Continuation, ד'ארטניאן ושלושת המוסקטרים, החקירה מנוהלת על ידי ידענים, יד היהלום"
לאורה ריבלין,"בית בגליל, דון ז'ואן, האדונית והרוכל (סרט), הינשוף, המנצח, השוטר הטוב, קרובים קרובים, שטוקהולם"
לביא זיטנר,"עיר מקלט, רוק בקסבה"
לבנה פינקלשטיין,"The Mechanik, אביבה אהובתי, אני אוהב אותך רוזה, הבוגד הקטן, המילים הטובות, העולם מצחיק, מאחורי הסורגים 2, מיתה טובה, סוסעץ, סיפור גדול"
לואי נופי,"Pink Subaru, איש ללא סלולרי, בנו של האחר, בקבוק בים של עזה, להישאר בחיים, מטומטמת, מיראל, עלטה, עץ לימון, ערבים רוקדים - זהות שאולה, שמים אדומים"
לוליטה מילבסקיה,"Cinderella, Crazy Day or The Marriage of Figaro, Evenings on a Farm near Dikanka, Kingdom of Crooked Mirrors"
לוסי אהריש,כבודו
לוסי דובינצ'יק,"אנטרקטיקה, גיבורים קטנים, ד""ר פומרנץ, החצר, המנצח, מלח הארץ, מפטיר, קלרה הקדושה"
לורן מייקלס,"I Am Chris Farley, The Canadian Conspiracy, איש על הירח"
לי בירן,"חצויה, פצועים בראש, שעת נעילה"
ליא קניג,"המועדון לספרות יפה של הגברת ינקלובה, המלך ליר, זכרון דברים, מלך של קבצנים, צילי, קדוש, קמטי צחוק"
ליאור אשכנזי,"אולטימאטום, אילי ובן, איש החשמל, ארץ נהדרת, בטיפול, בננות, בת השוטר, גולדה, הבועה, היינו בני המזל, המנצח, הסיפור של יוסי, הערת שוליים, הקרב על תל חי (דרמת טלוויזיה), חתונה מאוחרת, כלבת, ללכת על המים, מי מפחד מהזאב הרע, מלח הארץ, מסתור, מתנה משמיים, נורמן: עלייתו המתונה ונפילתו התלולה של מאכער אמריקאי, עקרון ההחלפה, עשו, פגע וברח, פוקסטרוט, קריוקי, רק כלבים רצים חופשי, שבעה ימים באנטבה, שלום ולהתראות, שעת נעילה"
ליאור זוהר,"איינשטיין הילד שלא הפסיק לשאול, טובי דובי"
ליאור ייני,"לאן נעלם דניאל וקס?, סיירים"
ליאור כהן,גאליס
ליאור כלפון,"דן ומוזלי, לבד בבית"
ליאור מילר,"Private, מלח ים, מפטיר, תגובה מאוחרת"
ליאור רז,"גלדיאטור 2, החדר הצפוף, העולם מצחיק, השוטר, מבול, מבצע פינאלה, מטומטמת, מריה מגדלנה, פאודה, פגע וברח"
ליאור שליין,גב האומה
ליאל דניר,מלאכיות בלבן
ליאנה עיון,"ביום שהאדמה רעדה, בלקספייס, בעלת החלומות, בת השוטר, קיבוצניקים, שכויה"
ליאת אזר,מלאכיות בלבן
ליאת אחירון,"The Sixteenth Lamb, כובע קסמים, עולמו המופלא של אוגוסטוס אגדתי"
ליאת אקטע,"אנטרקטיקה, מיראל, סדקים"
ליאת ביין,"המונה דופק, חיי אהבה"
ליאת גורן,"את לי לילה, מאיה, מנפאואר"
ליאת גליק,"כיפור, מלח הארץ, מלח ים, סרוגייט"
ליאת הר לב,"ארץ נהדרת, הפרלמנט, עקרון ההחלפה, שאולי ומלחמת האזרחים"
ליהי קורנובסקי,"איש חשוב מאוד, היינו בני המזל, הפורצת, יומני החופש הגדול, סאבלט, פשעי העתיד, קיבוצניקים, קרב אוויר (סרט), שכויה"
ליז רביאן,אלף
ליטל רוזנצוייג,הנפילים
לילי קוסאשווילי,חתונה מאוחרת
לילי ריץ׳,"Infinite, The Capture, כיבוש 1453, רמזור"
לילך סונין,עם סגולה
לים לובאני,"Rock the Kasbah, בגדאד סנטרל, עומאר, קונדור"
לימור גולדשטיין,"האישה באפור, וביום השלישי, כידון, מלח הארץ, מריונטה (סרט), נמס בגשם, ראש גדול, תהילים"
לירון בן-שלוש,"את לי לילה, הפורצת, מאיה, מוטלים בספק"
לירון ברנס,עץ לימון
לירון וייסמן,"האלופה, יונייטד היי, מדוזות"
לירון זייד,כובע קסמים
לירון כרקוקלי,כוח המים (סדרת טלוויזיה)
לירון לב,"Datia's Song Celebration, המסע לכוכב המינימיקים"
לירון לבו,"11'09""01 September 11, David & Kamal, Septembers of Shiraz, The Omega Code, אזור חופשי, אמור, בשר תותחים, התנתקות, זה בודאי המקום, זרים, כידון, כיפור, מינכן, מיראל, מפטיר, סרק סרק, עלילה, קדמה, קטמנדו, קירות"
לירון נירגד,הלהקה
לירון קורן,אילי ובן
לירז חממי,"נעלמים, על הספקטרום"
לירז צ'רכי,"אלו שעומדים למות, האלופה, טהרן, כלים שלובים, סוף העולם שמאלה"
לירית בלבן,"15 שנה, אהבה קולומביאנית, בידיים טובות, בלדה לאביב הבוכה, הבורר, טרופיקנה (סרט), נעלמים, קומי קומי"
למיס עמאר,סופת חול
לנה אטינגר,"Have Mercy on Us All, אבנים, בנו של האחר, הדרך לאן, הכלה הסורית, מבול, סרוגייט, קרוב לבית, תחיה ותהיה"
לנה פרייפלד,ולריה מתחתנת
לנה קאליש,"Q56314325, כבודו (סדרת טלוויזיה אוסטרית), מוטי וולקנברוך מתעורר לחיים"
מאור זגורי,זגורי אימפריה
מאור לוי,חמדה (סרט)
מאור שוויצר,"אופוריה, איביזה, איש חשוב מאוד, גאליס, יש לה את זה, מדינת הגמדים, פולמון, קרב אוויר (סרט), שמים אדומים, שעת נעילה"
מאיה בוסקילה,ימים של אהבה
מאיה גסנר,המנון
מאיה ורטהיימר,שבאבניקים
מאיה מרון,"בטיפול, כנפיים שבורות, מדורת השבט, קלרה הקדושה"
מאיה עשת,"Remembrance, נייטפלייר"
מאיה שואף,"גאליס, חצויה"
מאיסה עבד אלהאדי,"Gaza mon amour, Huda's Salon, The Alleys, The Reports on Sarah and Saleem, איש ללא סלולרי, בגדאד סנטרל, ג'נקשן 48, הזמן שנותר: כרוניקה של נוכח נפקד, מתים לרגע, עיני גנב, תל אביב על האש"
מאיר בנאי,נאדיה
מאיר גולדשמיד,"Der dibeḳ, Der zingendiḳer milner"
מאיר זרחי,I Spit on Your Grave: Deja Vu
מאיר מרגלית,משפחת שמחון
מאיר סויסה,"אחד בלב, אין לה אלוהים, אין שמות על הדלתות, בנות, גמר גביע, הכתובה, הלהקה, נאדיה, שירת הסירנה, תחיה ותהיה"
מארינה מקסימיליאן,תמרות עשן
מארק איווניר,"24, 360, Bunraku, CSI: מיאמי, CSI: ניו יורק, Day 2: 2:00 am - 3:00 am, Day 2: 3:00 am - 4:00 am, Gray Hour, Holy Rollers, Im Angesicht des Verbrechens, Marines, Rubikon, Rules of Engagement, The Fourth State, The Man Who Cried, Touch, Zero Day, אלוף ללא עוררין 2, אלוף ללא עוררין 3, בית הבובות, ברלין ירושלים, ג'אג, ג'וני אינגליש חוזר, האפיפיור החדש, הוואי חמש-אפס, ווקר, זהות בדויה, טרמינל, כולם אוהבים לוויתנים, כלים שלובים, להתראות גרמניה, מה בדיוק קרה, מחץ הדלתא 3, מר וגברת סמית', עבור כל האנושות, עשו, רשימת שינדלר, שומר המדינה, שליחותו של הממונה על משאבי אנוש"
מגי אזרזר,"בתולות, ויקי ואני, יש לה את זה, מי זאת? (תוכנית טלוויזיה)"
מודי בר-און,סיפורי תל אביב
מוחמד בכרי,"Boy from Heaven, Death Before Dishonor, Giraffada, Hanna K., La Masseria Delle Allodole, Laila's Birthday, Matrimoni e altri disastri, Private, Q128791954, Q3210373, Rami og Julie, Sous les pieds des femmes, Tale of the Three Jewels, The Body, Wajib, אסתר, גמר גביע, חיפה, כיכר החלומות, להב חצוי, מאחורי הסורגים, מאחורי הסורגים 2, מתנקש אמריקאי, נוזהת אל-פואד"
מוטי בן ישי,על הספקטרום
מוטי גלעדי,The Pinups
מוטי כץ,"האישה באפור, החיים זה לא הכל"
מוטי קירשנבאום,זוהי סדום
מולי שולמן,בשבילה גיבורים עפים
מון שביט,שטיסל
מוני מושונוב,"Q113362730, אהבה גנובה, אולטימאטום, אלי, בטיפול, בסמה מוצ'ו, היהודים באים, הלילה הוא שלנו, חברי ויג'איי, חומוס FULL טריילר, חתונה מאוחרת, כלת הים, לצוד פילים, לרקוד, מחילות, מסע אלונקות, מעל הגבעה, מתנה משמיים, עד לאזור לחימה, עקרון ההחלפה, קדמה, קצרים, רפסודיה בולגרית, שנת אפס, שרגא בישגדא, שתי אהבות"
מוניקה ורדימון,פעמיים בוסקילה
מוסקו אלקלעי,"Lansky, Meeting Venus, The Rashevski Tango, אין שמות על הדלתות, אלנבי רומאנס, אסקימוסים בגליל, בלומפילד, בר 51, החברים של יאנה, מלך של קבצנים, צלילה חוזרה, שבע פעמים ביום, תעלת בלאומילך"
מוקי,"ז'אטם איי לאב יו טרמינל, כנפיים שבורות, מטומטמת"
מור סרוסי,בעלת החלומות
מור פולנוהר,"Shtaim, גאליס, עור"
מורין אמור,אלף
מוריס כהן,"אחת אפס אפס, בת השוטר, בתולות, האיש שרצה לדעת הכל (סדרת טלוויזיה), המשגיחים, זיגי, כלת הים, עלטה, עקרון ההחלפה"
מורן אטיאס,"Gas, Oggi sposi, The Roses of the Desert, The Three Mothers, אם הדמעות, גוף שלישי, הרודן, זרים מושלמים, ימים של אהבה, שלושת הימים הבאים"
מורן רוזנבלט,"אודם, איש חשוב מאוד, היינו בני המזל, חתונה מנייר, חתונה עם סבתא, מבצע שלאגר, פרה אדומה (סרט), שבלולים בגשם"
מחמוד שלבי,"Free Men, בנו של האחר, בקבוק בים של עזה, כלת הים"
מיה דגן,"אבידות ומציאות, אמא ואבאז, האיש שרצה לדעת הכל (סדרת טלוויזיה), המפקדת, פעם הייתי"
מיה לנדסמן,"המפקדת, ילדות סכסכניות, קופה ראשית"
מיטל גל סויסה,אפס ביחסי אנוש
מיטל דוהן,"Man on the Street, Monogamy, בית הבובות, הארטיסט, העשב של השכן, לרקוד"
מיטל מיכאלי,גאליס
מייק בורשטיין,שני קוני למל
מייקל לואיס,"הקרמבויז, ראש גדול"
