Actor Name,Work
עמוס גיתאי,"התנתקות, זכרון דברים"
עמוס לביא,"בנות, גרין, דיסטורשן, האישה באפור, הארץ המובטחת, הבריחה מערב הסעודית, החולמים, החצר, המונה דופק, ימים של אהבה, כרמל, מינכן, מלך של קבצנים, מעורב ירושלמי, מפטיר, משחק חייו, סרק סרק, עוד אני הולך, עלילה, עץ לימון, פלאש, קשר דם, רגליים קרות, ריקוד מסוכן, שאכטה, שבזי, שושלת שוורץ, שחור"
עמוס מוקדי,"סבינה והגברים, צלילה חוזרה"
עמוס קולק,"להב חצוי, מניו יורק באהבה"
עמוס שוב,מדוזות
עמוס תמם,"אזהרת מסע, אחת אפס אפס, גיבורים קטנים, כידון, מָנָאיֶיכּ, סרוגים, עספור, עץ לימון, שלוש אמהות"
עמי אנידג'ר,"הקרמבויז, עם סגולה"
עמי ויינברג,"במקום חלום, האב, וביום השלישי, חוטא, מי מפחד מהזאב הרע, מינכן, מיראל, מעשייה אורבנית, נמס בגשם, עשו"
עמי טראוב,"האורסטיאה, צלילה חוזרה"
עמי סמולרצ'יק,"כידון, פתיחה 1812"
עמירם גבריאל,זהר
עמית אולמן,העיר הזאת
עמית בחובר,בית ספר לשטויות
עמית ליאור,"בשר תותחים, עפולה אקספרס"
עמית מורשת,תמונת הניצחון
עמית פרקש,"חצויה, כמעט מפורסמת"
עמית רהב,"אל מעבר האוקיינוס, היינו בני המזל"
עמנואל הלפרין,מבצע חמניה
עמנואל רוזן,עם סגולה
עמרי לוקאס,"אחרי הצלצול (סדרת טלוויזיה ישראלית), גאליס"
ענבר לביא,"Fillion Bollar King, Is a Shark Good or Bad?, My So-called Wife, Phase Two Sucks, Street Kings 2: Motor City, Tales of an Ancient Empire, The World Needs Heroes. Over., לוציפר, מתחזים, צייד המכשפות האחרון"
ענת ברזילי,"הכתובה, הרמון"
ענת וקסמן,"בננות, החיים זה לא הכל, לילסדה, נודל, סיפורי תל אביב"
ענת מגן-שבו,"אחד העם 1, אחד העם 101, יונייטד היי"
ענת עצמון,"אהבה גנובה, אמור, אסקימו לימון, המונה דופק, להב חצוי, עקרון ההחלפה"
ענת צחור,סיפורי תל אביב
ענת קלאוזנר,הבוגד הקטן
עפר שכטר,"NO אקזיט, איים אבודים, בננות, גאליס - קונקט, האלופה, הבוגד הקטן, הלהקה האחרונה בלבנון, טלנובלה בע""מ, מתים לרגע, פובידיליה"
עפרה ויינגרטן,"לרקוד, נישואין פיקטיביים"
עפרה חזה,"Ankh, נערת הפרברים, צדק מוחלט"
ערן איוניר,"איזה מקום נפלא, כל שבת שנייה, עץ לימון, שש פעמים"
ערן זרחוביץ',"ארץ נהדרת, גן קופים, הפרלמנט, מסודרים, עולה לראש"
ערן קולירין,אבירם כץ
פאולינה מאורר,"Der dzshaz zinger, Dos groyse  geṿins, אוי! אני מאוהב, האחים אשכנזי"
פאני לוביץ',רוחות
פואד חבש,עג'מי
פול ל. סמית',"21 שעות במינכן, Carambola!, Carambola's Philosophy: In the Right Pocket, Convoy Buddies, Crimewave, Desert Kickboxer, Eye of the Widow, Gor, Jungle Warriors, Madron, Mr. Terrific, Pieces, Sonny Boy, Ten Little Indians, Terminal Entry, The Diamond Peddlers, The In-Laws, The Protector, The Salamander, We Are No Angels, אקסודוס, אקספרס של חצות, חולית, ירח דבש מכושף, מבצע שטריימל, מווריק, מצדה, משה, סוניה האדומה, פופאיי, פורשים בסטייל"
פולי רשף,"חומוס FULL טריילר, כידון, מרס תורכי, קמטי צחוק"
פיטר פריי,"Neighbours, המלך דוד"
פיני טבגר,"אדמה משוגעת, איים אבודים, בחצר של פופיק, חנה ארנדט, יותר איטי מלב, עתלית"
פיני קידרון,עפולה אקספרס
פיראס נסאר,Q79468240
פירה קנטר,"אהבה קולומביאנית, חתה יסבח סבח, לב שקט מאוד, סרק סרק"
פלורנס בלוך,אבנים
פנינה רוזנבלום,אקדח האלוהים
פסח בר אדון,צבר
פסח גוטמרק,"Mayn mame der general (Performance), אלהים, אדם ושטן"
צ'רלי בוזגלו,שירת הסירנה
צבי שיסל,לול
צביקה הדר,"Kokhav Nolad 6, Kokhav Nolad 7, Kokhav Nolad 9, כוכב נולד 10, כוכב נולד 5, כוכב נולד 8, לצוד פילים, עם סגולה, עפולה אקספרס"
צביקה פורמן,Seven in Heaven
צביקה פיק,בדרנית בחצות
צדי צרפתי,אחרי הנפילה
צופית גרנט,"אפטר, בעלת החלומות, ד""ר פומרנץ, דיסטורשן, מבצע חמניה, סדקים"
צחי גראד,"Made in Israel, אולטימאטום, אורחים לרגע, אילי ובן, אני לא מאמין, אני רובוט?!, דיבוקים, הבודדים, הבלתי רשמיים, הבן דוד, הדילרים, הרחק מהיעדרו, חסר מנוחה, מבול, מדוזות, מי מפחד מהזאב הרע, מישהו לרוץ איתו, מלח הארץ, מרס תורכי, סיפורי בית קפה, עיניים פקוחות, ציון ואחיו, קטמנדו, תמרות עשן"
צחי הלוי,"Jaque mate, אתי אלון - האישה שגנבה 250 מיליון, ביום שהאדמה רעדה, בית בגליל, בית לחם, בתולות, המוסד, המילים הטובות, השוטרים, לילה בחיפה, לכודה, מריה מגדלנה, פאודה, פמת""א"
צחי כהן,"David & Kamal, Djihad, Essential Killing, Gaza, Speed Racer: Race to the Future, הבוגד הקטן, חיי אהבה"
צחי נוי,"Die unglaublichen Abenteuer des Guru Jakob, Popcorn and Ice Cream, Q47303942, Starke Zeiten, אסקימו לימון, בלוז לקיץ, הבוגד הקטן, המונה דופק, הקוסם מלובלין, יוצאים קבוע, ימים של אהבה, מפטיר, סבבה, פלאי קלעים, רומן זעיר, שפשוף נעים"
ציון ברוך,"אביבה אהובתי, גיבורים קטנים, הבועה, הבורר, הישראלים, הללויה, זוהי סדום, לשחרר את שולי, עם סגולה, רגליים קרות"
ציפי מור,בנות
ציפי שביט,"101 כלבים דלמטים, אחד באפריל, חסמבה דור 3"
צפרירה ירוני,חג שמח
צק ברקמן,"היה או לא היה, שרמן בחורף"
קאיפו כהן,הקיץ של אביה
קובי אריאלי,נבסו
קובי דורון,איש חשוב מאוד
קובי מאור,"הדילרים, ילדות רעות, כאן גרים בכיף, מטומטמת"
קובי מימון,זגורי אימפריה
קובי פרג',"חצויה, פעם הייתי, קריוקי, תאג""ד"
קובי שטמברג,המשגיחים
קווין רובין,זיגי
קונסטנטין אנטול,הדברים שמאחורי השמש
קייס נאשף,"Limbo, Though I Know the River Is Dry, אלנבי רומאנס, גוף השקרים, גן עדן עכשיו, התפוררות, מי מפחד מהזאב הרע, סיפור לידתו של ישו, ערבים רוקדים - זהות שאולה, תל אביב על האש"
קים אור אזולאי,מנגן ושר
קיריל ספונוב,"Bablo, Nikto ne yznaet, tatyanin den"
קלרה ח'ורי,"Forgiveness, אודם, בגדאד סנטרל, גוף השקרים, החתונה של רנא, הירושה, הכלה הסורית, חיי אהבה, לילה בחיפה, מחילות, עבודה ערבית"
קסניה סובצ'ק,"Nikto ne znaet pro sex 2: No sex, Q106269363, Q13224620, Q4126067, Q4193499, Q55515747, The Term, האיש הטוב, היטלר קאפוט, רז'בסקי נגד נפוליאון"
קרוליין לנגפורד,בנות
קרין אופיר,"מר באום, שירת הסירנה"
קרן אן,K
קרן ברגר,"בננות, הטבח, ילדות רעות, קטמנדו"
קרן מור,"11'09""01 September 11, בוקר טוב ילד, ברלין ירושלים, גט - המשפט של ויויאן אמסלם, החמישייה הקאמרית, המועדון לספרות יפה של הגברת ינקלובה, יום יום, כרמל, קופה ראשית, קצרים, שבעה, שורו, שנת אפס"
קרן צור,"15 שנה, PPS, ערבים רוקדים - זהות שאולה, קריוקי"
ראובן אדיב,גבעת חלפון אינה עונה
ראובן בר יותם,"בלומפילד, המשכנע בע""מ, מצדה"
ראובן דיין,"אביבה אהובתי, אבנים, גבעת חלפון אינה עונה, החיים על פי אגפא, חולה אהבה בשיכון ג', חתונה מאוחרת, מלח הארץ"
ראידה אדון,"God's Stories, No Name Restaurant, Tale of the Three Jewels, אזהרת מסע, דלתא פורס 1 (ש.ל.ר), תמרות עשן"
רבקה בכר,"אביבה אהובתי, מאיה"
רבקה גור,"אהבה גנובה, דרייבר, הבלתי רשמיים, הדקדוק הפנימי, העדות, חיותה וברל, חתונה מאוחרת"
רבקה מיכאלי,"אבא מטפלת, ד""ר פומרנץ, דרייבר, החיים בינתיים, הסודות, חתונה עם סבתא, ילדות סכסכניות, מי מפחד מהזאב הרע, פיק אפ, קדוש"
רבקה נוימן,"אדמה משוגעת, אנטרקטיקה, במקום חלום, ברלין ירושלים, החיים על פי אגפא, ישו, מר באום, שמיכה חשמלית ושמה משה"
רבקה רז,שלוש אמהות
רובא בלאל-עספור,"Pink Subaru, Q113362730, The Teacher, Wajib, הבועה, הירושה, טעם התפוחים אדום, מחילות, מיראל, סופת חול, עטאש (צימאון)"
רובי פורת-שובל,"בעלת החלומות, גט - המשפט של ויויאן אמסלם, מלך של קבצנים, סוף העולם שמאלה, שבעה"
רוברט הניג,"הולכת שבעה, הכלה הסורית, תהילים"
רוברטו פולק,"Brev til Jonas, גט - המשפט של ויויאן אמסלם, גמר גביע, שמיכה חשמלית ושמה משה"
רודי סעדה,"קופה ראשית, קופיקו"
רודיה קוזלובסקי,שנת אפס
רוזה ליכטנשטיין,"Q19279883, Q23787961, מטרופוליס"
רוזינה קמבוס,"הדברים שמאחורי השמש, חתונה מאוחרת, יוליוס קיסר, סוף שבוע בתל אביב, סיפורי תל אביב, סרוגייט, שירת הסירנה, שליחותו של הממונה על משאבי אנוש"
רוי מילר,"אבא מטפלת, ברקיע החמישי, בשר תותחים, האופה מברלין, עם סגולה"
רוית יעקב,גינת הפלאים של רינת
רומי אבולעפיה,"Anywhere Else, איש חשוב מאוד, החוב (סרט, 2011), הטבח, הסגת גבול (סרט, 2006), הרמון"
רון שחר,"המוסד הסגור, מפריח היונים, רגליים קרות"
רונה ליפז-מיכאל,"המנצח, חצויה, עץ לימון, ערבים רוקדים - זהות שאולה"
רונה-לי שמעון,"Dirty Angels, השוטר, לב שקט מאוד, פאודה"
רוני בליץ,החברים של יאנה
רוני דואני,"הקרמבויז, ראש גדול"
רוני דלומי,"אופוריה, גאליס"
רוני הדר,"יותר איטי מלב, תחיה ותהיה"
רוני מרון קליין,בעלת החלומות
רוני פינקוביץ',שתי אצבעות מצידון
רונית אלקבץ,"Ashes and Blood, Black Notebooks, L'endroit idéal, Les mains libres, Origine contrôlée, Turk's Head, אור, ביקור התזמורת, גט - המשפט של ויויאן אמסלם, היפוליטוס, הנערה מהרכבת, ולקחת לך אישה, חתונה מאוחרת, טרפליום, כלת הים, לא רואים עליך, מבול, מילים, עלילה, ציון ואחיו, שבעה, שחור"
רונית יודקביץ',"אדמה משוגעת, שש פעמים"
רועי אסף,"המשגיחים, כלת הים"
רועי בר-נתן,ארץ נהדרת
רועי ניק,"אופוריה, בתולות, דיבוקים, קיבוצניקים, רוק בקסבה, שש פעמים"
רועי רביב,בעלת החלומות
רות גונזלס,סינדרום ירושלים
רות גלר,"אשה זרה, בוקר טוב אדון פידלמן, דרייבר, מיתה טובה, עתליה"
רותי אסרסאי,"15 שנה, מטומטמת"
רותי הולצמן,על הספקטרום
רותם אבוהב,"אביבה אהובתי, אזהרת מסע, בתולות, הכוכבים של שלומי, העולם מצחיק, זרים מושלמים, טלנובלה בע""מ, סברי מרנן, סוף העולם שמאלה"
רותם זיסמן-כהן,"ברקיע החמישי, גיבורים קטנים, הבודדים, הכוכבים של שלומי, המשגיחים, העולם מצחיק, לצוד פילים, מקום בגן עדן, פצועים בראש"
רותם סלע,"בלאדי מורי, גאליס - קונקט, הטבח, להיות איתה, עולה לראש"
רותם קינן,"ההתחלפות, חיותה וברל, מטומטמת, מי מפחד מהזאב הרע"
רז דגן,"Albakiara - Il film, Barbarossa, Coppia omicida, One Hundred Nails, Sorellina e il principe del sogno, Squillo, Titus, אלכסנדר, כוחות מיוחדים"
רזיה ישראלי,"אליס, בקרוב יקרה לך משהו טוב, האורסטיאה, המועדון לספרות יפה של הגברת ינקלובה, למלא את החלל, על הספקטרום, רשימת שינדלר"
רחל אטאס,חמש חמש
רחל רודן,"איך  אתה הולך?, איך אתה הולך (23 בינואר 1959), איך אתה הולך?"
רחל שור,מחבואים
ריטה זוהר,אהבתה האחרונה של לורה אדלר
ריטה שוקרון,"אנשים כתומים, בשבילה גיבורים עפים, הכוכבים של שלומי, לרקוד, מאיה, סרק סרק, קריוקי"
ריימונד אבקסיס,"אין לה אלוהים, המנגליסטים, חתה יסבח סבח, תחיה ותהיה"
ריימונד אמסלם,"ביום שהאדמה רעדה, המתקפה (ש.ל.ר), לבנון, סרק סרק, קירות, שבע ברכות, שלוש אמהות, שליחותו של הממונה על משאבי אנוש"
רינה גנור,משפחת שמחון
רינת גבאי,גינת הפלאים של רינת
רינת מטטוב,"אלף, ביקור התזמורת, המלך ליר, מישהו לרוץ איתו, תמרות עשן"
ריף כהן,"בקבוק בים של עזה, רימון הזהב"
ריף נאמן,"PPS, על הספקטרום"
ריקי בליך,"אחת אפס אפס, אסתי המכוערת, קצרים, רגליים קרות, תפרים"
ריקי גל,"זכרון דברים, מאמי"
רמי ברוך,שירת הסירנה
רמי דנון,"בוקר טוב אדון פידלמן, גט - המשפט של ויויאן אמסלם, חיוך הגדי, לחם (סרט טלוויזיה), פצועים בראש, תחיה ותהיה"
רמי הויברגר,"בטיפול, גולדה, הבוגד הקטן, המונולוג של יגאל עמיר, מבצע ספתה, מיראל, מכתבים לאמריקה, רשימת שינדלר"
רן בכור,ימים של אהבה
רן דנקר,"אחד בלב, דני הוליווד, השיר שלנו, מוטלים בספק, מסכים, עיניים פקוחות"
רני בלייר,Made in Israel
רננה רז,"החצר, למלא את החלל, מינכן"
רעות אלוש,בלקספייס
רפאל קלצ'קין,"Peaceful Days, אמא קוראז' וילדיה, בלפר (סרט, 1978), דודה ליזה, המלט, הרוצחים הקטנים, חתונת פיגארו, כל אדם והאמת שלו, מסע לנינוה, עתליה"
רפי תבור,"אויב העם, הסיפור של יוסי, לחיי האהבה, עור, ריקוד מסוכן"
רשף לוי,קרתגו
שאדי מרעי,"אזהרת מסע, דיבוקים, על הספקטרום, פאודה"
שאול מזרחי,"אבנים, אחד משלנו, האושפיזין, השוטר, זהר, תחיה ותהיה"
שגית שמיר,שמיכה חשמלית ושמה משה
שולה חן,חמש חמש
שולה רווח,סיפורי תל אביב
שולי רנד,"האושפיזין, הבלתי רשמיים, החיים על פי אגפא, המשורר, ילדות סכסכניות, מילים, מרקו פולו"
שושה גורן,"אלף, בעלת החלומות, מדוזות, נמס בגשם, נעלמים"
שושיק שני,חנה ארנדט
שושנה דואר,"אגדת הנהר, גבעה 24 אינה עונה, העלמה יוליה, הפיזיקאים, הרוצחים הקטנים, חתונת פיגארו, ליזיסטרטה, לילסדה, שש נפשות מחפשות מחבר"
שושנה דמארי,"באין מולדת, גבעה 24 אינה עונה"
שושנה רביד,ליזיסטרטה
שחר חסון,"בובות (טלנובלה), לבד בבית"
שחר טבוך,שעת נעילה
שחר סגל,"בלוז לחופש הגדול, סיפורי תל אביב"
שי אביבי,"אדמה משוגעת, בלקספייס, בקרוב אצלי, גמר גביע, געגוע, המופע של בני זינגר, המנצח, המעורר – סרט מכתבים בין סב לנכדו, ויקי ואני, זוהי סדום, חיותה וברל, חצויה, כידון, קיבוצניקים, תמרות עשן"
שי דנון,"אירמה לה דוס, דודה ליזה, הרוצחים הקטנים"
שי פלד,דני הוליווד
שייקה אופיר,"Carlos, אבו אל בנאת, באין מולדת, הבית ברחוב שלוש, היפיפייה הנרדמת (סרט, 1987), השוטר אזולאי, השועל בלול התרנגולות, חור בלבנה, מכרות המלך שלמה, סבינה והגברים, תעלולי נאסר א-דין, תעלת בלאומילך"
שייקה לוי,"גבעת חלפון אינה עונה, העולם מצחיק, הקרב על הוועד"
שיפי אלוני,"הבלתי רשמיים, שלטון הצללים"
שירה ארד,"החברים של יאנה, לגעת באושר"
שירה גפן,"מדוזות, מר באום"
שירה האס,"אנטילופות, אסיה, אשתו של שומר גן החיות, הגופה, המורדת, המנצח, הרמון, מריה מגדלנה, סיפור על אהבה וחושך, עקרון ההחלפה, עשו, פוקסטרוט, פרינסס, קפטן אמריקה: סדר עולמי חדש, שטיסל"
שירה וילנסקי,"בילי, השמיניה"
שירה לוי,"זיגי, יונייטד היי"
שירה נאור,"בנו של האחר, בקרוב אצלי, ברלין בלוז, גאליס, גן קופים, היהודים באים, זרים מושלמים, תאג""ד"
שירה קצנלנבוגן,"בשר תותחים, דני הוליווד, ילדות רעות"
שירז טל,פגישה עיוורת
שירי גדני,"כאן גרים בכיף, מאיה"
שירי גולן,"הדרך לאן, ויקי ואני, חיותה וברל"
שירי מימון,"NO אקזיט, ילדות רעות"
שירילי דשא,ערבים רוקדים - זהות שאולה
שירלי ברנר,"Blind Horizon, Tail Sting, מר באום, רצח מוצדק"
שירלי לוי,זיגי
שירן סנדל,"גאליס, גאליס - קונקט"
שלום אסייג,מָנָאיֶיכּ
שלום מיכאלשווילי,"ביום שהאדמה רעדה, הבורר, הישראלים, לשחרר את שולי, עם סגולה, עספור, קירות"
שלום שמואלוב,"אוונטי פופולו, יוליוס קיסר, יותר איטי מלב, לילה לבן, מדוזות"
שלומי אברהם,"ביקור התזמורת, הבודדים, הפורצת"
שלומי טפיארו,"PPS, קיבוצניקים"
שלומי סרנגה,כיכר החלומות
שלומי קוריאט,"הבורר, החברים של נאור, המוסד, העולם מצחיק, מכתבים לאמריקה, סדקים"
שלומית מנדל,"חיי אהבה, פיתוי"
שלמה ארצי,חסמבה ונערי ההפקר
שלמה בר-שביט,"אגדת שלושה וארבעה, אירמה לה דוס, אמא קוראז' וילדיה, ד""ר פומרנץ, האחים קרמזוב, יוליוס קיסר"
שלמה בראבא,"מסע אלונקות, נישואין פיקטיביים, פמת""א"
שלמה וישינסקי,"ד""ר פומרנץ, החיים זה לא הכל, הכתובה, סוף שבוע בתל אביב, קרוב לבית, שמיכה חשמלית ושמה משה, תחיה ותהיה"
שלמה סדן,"הסיפור של יוסי, נקמה יהודית 6"
שלמה תרשיש,"אין שמות על הדלתות, האדונית והרוכל (סרט), חמסין, סיפורי תל אביב"
שמואל אדלמן,"אהבה קולומביאנית, אור, אילי ובן, המופע של בני זינגר, הצלילה, שורו"
שמואל בונים,דודה קלרה
שמואל ברו,תחיה ותהיה
שמואל וולף,"אסתר, דון קישוט בירושלים, חתולים על סירת פדלים, מיתה טובה, שמיכה חשמלית ושמה משה"
שמואל וילוז'ני,"אשה זרה, בילי, בנא, חתולים על סירת פדלים, סדקים, עבודה ערבית, תהילים"
שמואל סגל,"Di ḳ̣leyne menṭshlekh, אגדת שלושה וארבעה, דודה ליזה, הפיזיקאים, ליל הקסמים, מסע לנינוה, ס'האט זיך אויסגעלאזט א בוידעם, פסטיבל שלום עליכם, קרובים קרובים, שניים עשר המושבעים"
שמואל קלדרון,"ההסדר, זכרון דברים, יום יום, מנפאואר, מרס תורכי, קדוש"
שמואל רודנסקי,"Di ḳleyne menṭshelakh, Di ḳ̣leyne menṭshlekh, Gidʻon, Scorpio, אגדת שלושה וארבעה, אמא קוראז' וילדיה, הפיזיקאים, טוביה ושבע בנותיו, כל אדם והאמת שלו, משה, ס'האט זיך אויסגעלאזט א בוידעם, פסטיבל שלום עליכם, שניים עשר המושבעים, תיק אודסה"
שמואל שילה,"נועה בת 17, סרק סרק, רחוב סומסום"
שמוליק לוי,קצרים
שמוליק קראוס,"The Royal Hunt of the Sun, אדם, המונה דופק, סוסעץ"
שמיל בן ארי,"אהבה קולומביאנית, איים אבודים, בשורות טובות, גט - המשפט של ויויאן אמסלם, ד""ר פומרנץ, החברים של יאנה, החיים על פי אגפא, חולה אהבה בשיכון ג', חצויה, מבול, מטומטמת, מיראל, שלוש אמהות, שמיכה חשמלית ושמה משה, תחיה ותהיה"
שמעון דז'יגאן,"A guṭn Purim malekh, Di ṿelṭ shoḳolaṭ zikh!, Folks-yom-Tev fun freyd un gezang!, Lakhṭ gezunṭerheyṭ!, Yom-ṭev inderṿokhn, איך  אתה הולך?, איך אתה הולך (23 בינואר 1959), איך אתה הולך, זע ווי דו גייסט, איך אתה הולך?, אל תדחוף את האף, אן א היים, אריינגעצימבלט..., הרבצנו ודי., בעסער מ'רדט נישט, שתיקה של זהב, דבר לענין, רעד צו דער זאך, חג שמח, יש ליהודי ארצונת!..., לא מלקקים דבש!, לאכט געזונטערהייט!, מכירים אותך, דוד!..., פריילעכע קבצנים, צחוק ולא יעבור, טאטע ולא יעבור, שא, שא השלום בא!"
שמעון ישראלי,המרתף
שמעון כהן (מדבב),האחים קרמזוב
שמעון מורל,"איך  אתה הולך?, איך אתה הולך (23 בינואר 1959), איך אתה הולך?"
שמעון מימרן,"אורחים לרגע, אילי ובן, אלוהי הפסנתר, בלדה לאביב הבוכה, הבן דוד, ההסדר, נבסו, עלטה, תחיה ותהיה"
שמעון פינקל,"Gidʻon, Yoysef Bulof in Gidon, המלט, הפיזיקאים, רוחות"
שמרית לוסטיג,"כידון, קטמנדו, ראש גדול"
שני אטיאס,"Lost Boy, אליטה, גאליס"
שני כהן,"ארץ נהדרת, גן קופים, דני הוליווד, השוטרים, נופלות על הרגליים"
שני קליין,"אפס ביחסי אנוש, ההר, הרמון, מטומטמת, ערבים רוקדים - זהות שאולה"
שפרירה זכאי,עיניים פקוחות
שראל פיטרמן,"על הספקטרום, תאג""ד"
שרגא הרפז,"בקרוב יקרה לך משהו טוב, העיט"
שרגא פרידמן,"אמא קוראז' וילדיה, בלומפילד, גבעה 24 אינה עונה, הפיזיקאים, חתונת פיגארו, ליל הקסמים, מלחמה ושלום, מסע לנינוה, מקבת, עיר הכתריאלים, שניים עשר המושבעים"
שרה אביאני,"איך  אתה הולך?, איך אתה הולך (23 בינואר 1959), איך אתה הולך?"
שרה אדלר,"Bachelor Days Are Over, Beating Sun, French Dolls, Notre musique, אבנים, אולטימאטום, איה, אנה ערביה, בוקר טוב אדון פידלמן, בורג, האופה מברלין, הבית של נינה, מארי אנטואנט, מדוזות, מי מפחד מהזאב הרע, פוקסטרוט, צילי, שחר (סרט, 2014), שנת אפס"
שרה אמן,"Here we are, Neighbours, אירמה לה דוס"
שרה ואן,בעל להשכיר!
שרה וינו-אלעד,"אור, אלף, העולם מצחיק, נודל"
שרה פון שוורצה,"זגורי אימפריה, ילדות סכסכניות, כביש הסרגל (סרט), פמת""א"
שרה פלדמן,"Der ṭaṭe bin ikh, בעל להשכיר!"
שרון אלכסנדר,"אדומות, אחד משלנו, אחת אפס אפס, אלף, אשה זרה, גמר גביע, הדרך לאן, החיים על פי אגפא, וביום השלישי, חצויה, טלנובלה בע""מ, לילה לבן, מיראל, מפטיר, מרקו פולו, סיפורי תל אביב, פיתוי, קשר עיר"
שרון בר-זיו,"בוקר טוב ילד, בלוז לחופש הגדול"
שרון דוראני,לגעת באושר
שרון הכהן-בר,"זכרון דברים, חופשת קיץ, שורו"
שרון זליקובסקי,"סרק סרק, שנת אפס"
שרון טל,"בנא, רימון הזהב"
שרון מלכי-שמש,"אחים, אלף, טלנובלה בע""מ"
שרון פרנס,לגעת באושר
שרון קנטור,גור ואוח
שרון רג'יניאנו,"המשימה X, זהר, כיכר החלומות, סודות המסדר, סיפורי בית קפה, קרוב לבית, רימון הזהב"
שרון שחל,Datia's Song Celebration
שרונה אלימלך,שושלת שוורץ
שרי גבעתי,"NCIS, The Passage, בלתי נשכחים 3, עם סגולה, שלטון הצללים"
שרי צוריאל,"מבחן החלב, רחוב סומסום"
שרית לארי,"הגננת, זמן אוויר"
שרית סרי,מר באום
ששון גבאי,"A Brother's Love, Djihad, Made in Israel, When Pigs Have Wings, אביבה אהובתי, אבירם כץ, בוקר טוב אדון פידלמן, ביקור התזמורת, בתולות, בתי אהובתי, גט - המשפט של ויויאן אמסלם, דלתא פורס 1 (ש.ל.ר), הבריחה מערב הסעודית, המילים הטובות, השגריר, חמדה (סרט), כידון, כרמל, לא בלי בתי, לצוד פילים, מנגן ושר, סודות המסדר, סיטון, סיפורי תל אביב, עד לאזור לחימה, קוגל, קריוקי, רמבו 3, שטוקהולם, שטיסל, שלום ולהתראות, שנת אפס"
ששי קשת,"הבלש האמיץ שוורץ, הלהקה, נורית, פיק אפ"
תאופיק ברהום,"Boy from Heaven, Ghost Trail, The Way of the Wind, בגדאד סנטרל, הסימן הראשון, מריה מגדלנה"
תאמר נפאר,ג'נקשן 48
תובל שפיר,"גאליס, גאליס - המסע לאסטרה, גאליס - קונקט, פעם הייתי, פצועים בראש"
תום אבני,"שלטון הצללים, שעת נעילה, תמונת הניצחון"
תום גרציאני,"ביום שהאדמה רעדה, שלטון הצללים"
תום חגי,שעת נעילה
תומר אופנר,"איש חשוב מאוד, בילי, בנו של האחר, תחיה ותהיה"
תומר יוסף,"ביקור התזמורת, הצל של החיוך שלך"
תומר קאפון,"Slingshot, בקרוב אצלי, בשבילה גיבורים עפים, גאליס, הבנים, פאודה, פולמון, תאג""ד"
תומר רוסו,"Private, לגעת באושר"
תומר שרון,"חצויה, מר באום, מרס תורכי, פתיחה 1812, צומת וולקן"
תותי ניניו,"אחרי הצלצול (סדרת טלוויזיה ישראלית), שכויה"
תחיה דנון,צמות
תיאודור ביקל,"200 Motels, A Sacred Duty, A Stoning in Fulham County, Above Us the Waves, Another World, Benefit of the Doubt, Dark Tower, Darker than Amber, Desperate Moment, Forbidden Cargo, I Bury the Living, Melba, My Side of the Mountain, Never Let Me Go, Noon Wine, Sands of the Kalahari, See You in the Morning, Shadow Conspiracy, Shattered, Snatched, Sweet November, The Angry Hills, The Desperate Ones, The Enemy Below, The Kidnappers, The Little Ark, The True Story of Frank Zappa's 200 Motels, The Vintage, The Young Lovers, Who Has Seen the Wind?, Woman Obsessed, אני רוצה לחיות, גבירתי הנאווה, הבוגד הקטן, הגאווה והתשוקה, החטא ועונשו (סרט רוסי, 2002), המלאך הכחול, הנועזים, הרוסים באים, הרוסים באים, חומות קולדיץ, מולן רוז', מלכה אפריקאית, משפחה, שיבת המלך"
תימור כהן,קריוקי
תיקי דיין,"בדרנית בחצות, בתולות, לצוד פילים, סימה וקנין מכשפה, קרובים קרובים, שטוקהולם, שקופים (סדרת טלוויזיה)"
תם גל,"פעם הייתי, ראש גדול, שעת נעילה"
תמי סטרונך,"Man and Witch: The Dance of a Thousand Steps, Q104895419, Q12046481, הסיפור שאינו נגמר"
תמימה יודלביץ,אגדת הנהר
תמיר בר,בקרוב אצלי
תמר אלקן,"גיא אוני, האיש שבקיר"
תמר עמית יוסף,גאליס
תמר פרמינגר,החיים בינתיים
תמר קינן,"החברים של נאור, טלנובלה בע""מ"
תמר שם אור,"אמור, בנו של האחר, ברקיע החמישי"
תמרה קלינגון,אפס ביחסי אנוש
תמרה רובינס,חתונת פיגארו
תקווה עזיז,שחור
תרצה אתר,"בגלל חגורה, העלמה יוליה"
Ḥaneh Ṭepner,"Der ḳibitser (April 27, 1967), אלהים, אדם ושטן"
